Ticker,Sector,Margin,Lot,StDif
MARUTI,NIFTYAUTO,113459,50,100
MAXHEALTH,OTHERS,159708,525,20
MAZDOCK,NIFTYAUTO,194311,175,100
MCX,OTHERS,290557,125,100
MFSL,OTHERS,236048,800,20
MOTHERSON,NIFTYAUTO,141845,4100,2.5
MPHASIS,NIFTYIT,168263,275,50
MUTHOOTFIN,FINNIFTY,147522,275,20
NATIONALUM,NIFTYMETAL,194671,3750,5
NAUKRI,OTHERS,117157,375,20
NBCC,OTHERS,228132,6500,
NCC,OTHERS,166054,2700,5
NESTLEIND,NIFTYFMCG,106281,250,20
NHPC,OTHERS,125976,6400,1
NMDC,NIFTYMETAL,217396,13500,1
NTPC,NIFTYENERGY,90675,1500,5
NUVAMA,OTHERS,,,
NYKAA,OTHERS,131136,3125,2.5
OBEROIRLTY,NIFTYREALTY,146553,350,20
OFSS,OTHERS,156810,75,100
OIL,OTHERS,165191,1400,10
ONGC,NIFTYENERGY,111222,2250,2.5
PAGEIND,OTHERS,128322,15,500
PATANJALI,OTHERS,100248,300,20
PAYTM,OTHERS,210115,725,20
PERSISTENT,NIFTYIT,135843,100,100
PETRONET,OTHERS,103667,1800,5
PFC,FINNIFTY,141626,1300,10
PGEL,OTHERS,,,
PHOENIXLTD,NIFTYREALTY,134320,350,
PIDILITIND,OTHERS,138551,250,20
PIIND,OTHERS,132107,175,50
PNB,BANKNIFTY,191950,8000,1
PNBHOUSING,OTHERS,174883,650,
POLICYBZR,OTHERS,171890,350,20
POLYCAB,OTHERS,207212,125,100
POWERGRID,NIFTYENERGY,101318,1900,2.5
POWERINDIA,OTHERS,,,
PPLPHARMA,OTHERS,132223,2500,
PRESTIGE,NIFTYREALTY,192921,450,50
RBLBANK,OTHERS,269393,3175,2.5
RECLTD,FINNIFTY,133844,1275,10
RELIANCE,NIFTYENERGY,135183,500,10
RVNL,OTHERS,174567,1375,10
SAIL,NIFTYMETAL,261168,4700,2.5
SAMMAANCAP,OTHERS,,,
SBICARD,FINNIFTY,129856,800,10
SBILIFE,FINNIFTY,120890,375,20
SBIN,BANKNIFTY,107846,750,10
SHREECEM,OTHERS,139864,25,250
SHRIRAMFIN,FINNIFTY,128514,825,10
SIEMENS,OTHERS,96094,125,50
SOLARINDS,OTHERS,293631,75,
SONACOMS,OTHERS,113614,1050,10
SRF,OTHERS,122670,200,50
SUNPHARMA,NIFTYPHARMA,104641,350,20
SUPREMEIND,OTHERS,177423,175,100
SUZLON,OTHERS,,,
SYNGENE,OTHERS,121203,1000,10
TATACONSUM,NIFTYFMCG,106717,550,10
TATAELXSI,OTHERS,131264,100,50
TATAMOTORS,NIFTYAUTO,111306,800,10
TATAPOWER,NIFTYENERGY,118145,1450,5
TATASTEEL,NIFTYMETAL,179811,5500,1
TATATECH,OTHERS,105190,800,10
TCS,NIFTYIT,105969,175,20
TECHM,NIFTYIT,176108,600,10
TIINDIA,OTHERS,142530,200,50
TITAGRH,OTHERS,224098,725,20
TITAN,OTHERS,114584,175,20
TORNTPHARM,NIFTYPHARMA,148526,250,50
TORNTPOWER,NIFTYENERGY,133524,375,
TRENT,OTHERS,154329,100,100
TVSMOTOR,NIFTYAUTO,185652,350,20
ULTRACEMCO,OTHERS,110344,50,100
UNIONBANK,OTHERS,165099,4425,2.5
UNITDSPR,NIFTYFMCG,98464,400,20
UNOMINDA,OTHERS,141613,550,20
UPL,OTHERS,175433,1355,10
VBL,NIFTYFMCG,101545,1025,10
VEDL,NIFTYMETAL,117605,1150,10
VOLTAS,OTHERS,112305,375,20
WIPRO,NIFTYIT,145873,3000,2.5
YESBANK,OTHERS,153617,31100,1
ZYDUSLIFE,NIFTYPHARMA,159839,900,10
