Ticker,Date,Time,Open,High,Low,Close,Volume,OI
~~~EQUITY,05-05-2025,09:15:00,24411.45,24526.40,24400.65,24459.50,0,0
~~~EQUITY,06-05-2025,09:14:00,24500.75,24509.65,24331.80,24335.90,0,0
~~~EQUITY,07-05-2025,09:15:00,24224.65,24449.60,24220.00,24409.30,0,0
~~~EQUITY,08-05-2025,09:15:00,24430.30,24447.25,24150.20,24154.10,0,0
~~~EQUITY,09-05-2025,09:15:00,23960.25,24164.25,23949.20,24038.65,0,0
